lyrics,Singer,acousticness,danceability,energy,id,instrumentalness,key,liveness,loudness,mode,Song name,speechiness,tempo,track_href,valence
"Proper ਪਟੋਲਾ, ਨਖ਼ਰਾ ਏ swag
ਸੂਟ ਪਟਿਆਲਾ ਸ਼ਾਹੀ, ਚੁੰਨੀ ਤੇਰੀ black
ਓ, ਮੁੰਡੇ ਹੌਕੇ ਭਰਦੇ ਤੈਨੂੰ ਤੱਕ-ਤੱਕ ਕੇ
ਨੱਚੇ ਜਦੋਂ ਹੱਥ ਤੂੰ ਲੱਕ ਉਤੇ ਰੱਖ ਕੇ

Proper ਪਟੋਲਾ, ਨਖ਼ਰਾ ਏ swag
ਸੂਟ ਪਟਿਆਲਾ ਸ਼ਾਹੀ, ਚੁੰਨੀ ਮੇਰੀ black
ਓ, ਮੁੰਡੇ ਹੌਕੇ ਭਰਦੇ ਮੈਨੂੰ ਤੱਕ-ਤੱਕ ਕੇ
ਨੱਚਾਂ ਜਦੋਂ ਹੱਥ ਮੈਂ ਲੱਕ ਉਤੇ ਰੱਖ ਕੇ

Look, ਰੱਬ ਨੇ ਹੁਸਨਾ ਦੀ ਰੱਖੀ ਕੋਈ ਥੋੜ੍ਹ ਨਹੀਂ
ਗੱਲਾਂ ਦੀ ਲਾਲੀ ਨੂੰ makeup ਦੀ ਕੋਈ ਲੋੜ ਨਹੀਂ
ਫੁੱਲ ਗੁਲਾਬ ਦੇ ਬੁੱਲ੍ਹ ਨੇ ਜਨਾਬ ਦੇ
ਸੌਂਹ ਲੱਗੇ ਮੰਮੀ ਦੀ ਮੈਨੂੰ, ਤੇਰਾ ਕੋਈ ਤੋੜ ਨਹੀਂ

ਠੋਡੀ 'ਤੇ ਤਿਲ ਕਾਲਾ ਕੁੜੀਆਂ ਨੀ ਬਾਤਾਂ ਪਾਵੇ
ਸੂਟ ਪਟਿਆਲਾ Gucci-vucci ਨੂੰ ਮਾਤਾਂ ਪਾਵੇ
...",Aastha Gill,0.485,0.77,0.824,39ujbBjTwwqUFySaCYDMMT,0.0,1,0.318,-6.491,0,Proper Patola,0.0851,172.006,https://api.spotify.com/v1/tracks/39ujbBjTwwqUFySaCYDMMT,0.49
"ओ सीलि पीली पा के ओ बलम
तोड़ दे भरम
छोड़ दे घबराना
बजाए तू ये दूर से horn क्या

दिल के सारे button खोल दे
खुल के बोल दे
सहमे रहियो ना
बता दे तेरा आज है plan क्या

आज बिजली भी गिरवानी है
Fire भी लगवानी है
जो तू आ के baby हमरे साथ मा
आ आ आ आ के
कमरिया
हिला दे हिल्ला दे
हिला दे हिल्ला दे
हिला दे हिल्ला दे

नज़रिया
मिला दे मिला दे
मिला दे मिला दे
मिला दे मिला दे

कमरिया
हिला दे हिल्ला दे
हिला दे हिल्ला दे
हिला दे हिल्ला दे

नज़रिया
मिला दे मिला दे
मिला दे मिला दे
मिला दे मिला दे

हो हाए रे मेरा दिल ले ले
...",Aastha Gill,0.143,0.825,0.666,5cjVsWqIkBQC7acTRhL0RO,2.81e-06,4,0.237,-4.847,0,Kamariya,0.0554,96.987,https://api.spotify.com/v1/tracks/5cjVsWqIkBQC7acTRhL0RO,0.763
"तुझसे मन नहीं है भरता...

तेरा buzz मुझे जीने ना दे, जीने ना दे
तेरा buzz मुझे जीने ना दे, जीने ना दे
तेरा buzz मुझे जीने ना दे, जीने ना दे
तेरा buzz मुझे जीने ना दे, जीने ना दे

तुझसे मन नहीं है भरता, अब तू ही है कर्ता-धर्ता
तुझसे मन नहीं है भरता, अब तू ही है कर्ता-धर्ता
और तू पानी तक पीने ना दे, पीने ना दे

तेरा buzz मुझे जीने ना दे, जीने ना दे
तेरा buzz मुझे जीने ना दे, जीने ना दे
तेरा buzz मुझे जीने ना दे, जीने ना दे
तेरा buzz मुझे जीने ना दे, जीने ना दे

Trippy हैं आँखें तेरी, घुँघराले बाल हैं
चलता जैसे सब उसके बापू का माल है
चलता जैसे सब उसके बापू का माल है

और जब कमर पकड़ के खींचे
...",Aastha Gill,0.236,0.663,0.551,3XYvdqcZrTmRntFDDbJkJd,3.57e-05,3,0.0923,-8.272,0,Buzz (feat. Badshah),0.109,113.314,https://api.spotify.com/v1/tracks/3XYvdqcZrTmRntFDDbJkJd,0.601
"MixSingh in the house (House, house)

ਸੁਣ ਮੁੰਡਿਆ ਵੇ ਜੇ ""ਹਾਂ"" ਕਰਵਾਉਣੀ
ਮੈਂ ਵੀ ਤੈਥੋਂ ਇਕ ਗੱਲ ਮਨਾਉਣੀ
ਸੁਣ ਮੁੰਡਿਆ ਵੇ ਜੇ ""ਹਾਂ"" ਕਰਵਾਉਣੀ
ਮੈਂ ਵੀ ਤੈਥੋਂ ਇਕ ਗੱਲ ਮਨਾਉਣੀ

Tension'an ਨੂੰ, tension'an ਨੂੰ
Tension'an ਨੂੰ ਜੜ ਤੋਂ ਮੁਕਾ ਦੇ, ਸੋਹਣਿਆ
ਤੂੰ ਮੈਨੂੰ ਸਾਰਾ India ਘੁੰਮਾ ਦੇ, ਸੋਹਣਿਆ
ਨਾ ਕੋਈ ਤੇਰੇ ਵਰਗਾ, ਦਿਖਾ ਦੇ, ਸੋਹਣਿਆ
ਤੂੰ ਮੈਨੂੰ ਸਾਰਾ India ਘੁੰਮਾ ਦੇ, ਸੋਹਣਿਆ
...",Aastha Gill,0.00323,0.919,0.571,46GBoFCdFZZSjuGaZjZmGv,0.00168,5,0.103,-7.175,0,Saara India,0.0687,105.007,https://api.spotify.com/v1/tracks/46GBoFCdFZZSjuGaZjZmGv,0.231
"Akull on the beat, yeah (yeah)
Mellow, Mellow (Mellow, Mellow)
Aastha Gill

ਓ, ਇੱਕ ਤੇਰੀ ਚਾਲ, curly ਜਿਹੇ ਬਾਲ
Lil' black dress 'ਚ ਲਗਦੀ ਕਮਾਲ
ਮੁੰਡਿਆਂ ਦਾ ਕਰਦੀ ਬੁਰਾ ਹਾਲ, baby, ਖੁਦ ਨੂੰ ਸੰਭਾਲ

Jägerbomb ਉਤੇ bomb ਤੁਸੀਂ ਲਾਈ ਜਾਨੇ ਓ
ਇੰਜ table ਉਤੇ ਚੜ੍ਹ ਕੇ ਭੰਗੜਾ ਪਾਈ ਜਾਨੇ ਓ, ਓ-ਓ

एक: हाथ में शराब, दूजा: पिया मेरे साथ
ਪੀਤੀ ਜਾਊਂ, ਪੀਤੀ ਜਾਊਂ ਨੀ ਮੈਂ ਸਾਰੀ-ਸਾਰੀ ਰਾਤ
एक: हाथ में शराब, दूजा: पिया मेरे साथ
ਪੀਤੀ ਜਾਊਂ, ਪੀਤੀ ਜਾਊਂ ਨੀ ਮੈਂ ਸਾਰੀ-ਸਾਰੀ ਰਾਤ

थोड़ी सी तू drunk, थोड़ा सा मैं high
थोड़ी सी तू drunk, थोड़ा सा मैं high
थोड़ी सी तू drunk, थोड़ा सा मैं high
फ़िर भी और पिए जाए (let the beat drop)

कैसे maintain करती, baby
...",Aastha Gill,0.129,0.867,0.72,6VwVEIiCro1EMyh9B6Om3v,0.0,9,0.228,-5.188,0,Drunk n High,0.0619,104.974,https://api.spotify.com/v1/tracks/6VwVEIiCro1EMyh9B6Om3v,0.755
"ਕੈਮਰੇ ਵਾਲਿਆ, ਕੈਮਰੇ ਵਾਲਿਆ, video ਬਨਾ ਦੇ ਰੇ
ਮੈਂ ਲਗਦੀ ਅੱਜ ਅੱਗ ਸੋਹਣਿਆ, ਅੱਗ ਤੂੰ ਹੋਰ ਜਗਾ ਦੇ ਰੇ
ਕੈਮਰੇ ਵਾਲਿਆ, ਕੈਮਰੇ ਵਾਲਿਆ, video ਬਨਾ ਦੇ ਰੇ
ਮੈਂ ਲਗਦੀ ਅੱਜ ਅੱਗ ਸੋਹਣਿਆ, ਅੱਗ ਤੂੰ ਹੋਰ ਜਗਾ ਦੇ ਰੇ
(ਅੱਗ ਤੂੰ ਹੋਰ ਜਗਾ ਦੇ ਰੇ)

ਸੱਪਣੀ ਬਣਾਇਆ ਵਾਲਾਂ ਵਾਲ਼ੀ ਲੱਟ ਨੂੰ
ਮਿੱਠੀ-ਮਿੱਠੀ ਲਗਦੀ ਐ ਤੂੰ ਜੱਟ ਨੂੰ
ਸੱਪਣੀ ਬਣਾਇਆ ਵਾਲਾਂ ਵਾਲ਼ੀ ਲੱਟ ਨੂੰ
ਮਿੱਠੀ-ਮਿੱਠੀ ਲਗਦੀ ਐ ਤੂੰ ਜੱਟ ਨੂੰ

ਜੀਨਾਂ-ਸ਼ੀਨਾਂ, ਓਏ-ਹੋਏ
ਜੀਨਾਂ-ਸ਼ੀਨਾਂ, ਸੂਟ-ਵੂਟ ਤੇ ਹੀਲਾਂ-ਸ਼ੀਲਾਂ ਲਿਆਦੇ ਰੇ

ਕੈਮਰੇ ਵਾਲਿਆ, ਕੈਮਰੇ ਵਾਲਿਆ, video ਬਨਾ ਦੇ ਰੇ
ਮੈਂ ਲਗਦੀ ਅੱਜ ਅੱਗ ਸੋਹਣਿਆ, ਅੱਗ ਤੂੰ ਹੋਰ ਜਗਾ ਦੇ ਰੇ

ਚੱਕ ਤੇਰੇ ਚੂੜੀਆਂ ਤੇ ਝੁਮਕੇ, ਕੱਢ ਲੈਨੀ ਟੌਰ, ਬੱਲੀਏ
ਸਾਰੀ ਰਾਤ ਨੱਚੀ ਮੇਰੇ ਸਾਮ੍ਹਣੇ, ਜੱਟ ਕਰ ਦਈਂ ਨਾ bore, ਬੱਲੀਏ
...",Aastha Gill,0.607,0.801,0.862,7hXcOpRn1c1zFG6sOFcfj5,0.0,8,0.637,-2.87,0,Video Bana De,0.0487,95.992,https://api.spotify.com/v1/tracks/7hXcOpRn1c1zFG6sOFcfj5,0.619
"छोटी-छोटी, टी-टी-टी-टी
छोटी-छोटी, टी-टी-टी-टी

छोटी-छोटी बातों पर मैं रोती नहीं वैसे
But कल ही की थी shopping, मैंने खर्चे थे पैसे
(छोटी-छोटी, टी-टी-टी-टी)

हाँ-हाँ, छोटी-छोटी बातों पर मैं रोती नहीं वैसे
But कल ही की थी shopping, मैंने खर्चे थे पैसे
Beat हुई जब drop तो, baby, नाची मैं ऐसे

कि हीलें टूट गई, कि हीलें टूट गई
कि हीलें टूट गई, कि हीलें टूट गई
...",Aastha Gill,0.0293,0.826,0.725,6fzzFUK6M1PxIbPMNQl5Ak,0.00781,11,0.116,-6.593,0,"Heelein Toot Gayi (From ""Indoo Ki Jawani"")",0.052,104.998,https://api.spotify.com/v1/tracks/6fzzFUK6M1PxIbPMNQl5Ak,0.727
"Yeah, yeah

दरवाज़े को कुंडी मारो, कोई ना बच के जाने पाए
DJ को समझा दो, music ग़लती से भी रुक ना जाए
थका-थका जो feel करे वो जा के दो Red Bull गटक ले
और जिसको dance नहीं करना वो जा के अपनी भैस चराए

बस आज की रात है, कल से वही ਸਿਆਪੇ हैं
जी-भरके नाच लो, ना घरवाले, ना ਮਾਪੇ हैं
Club पे अपना राज है, डरने की क्या बात है?
ये तो बस शुरुआत है, ये तो बस शुरुआत है

अरे, अभी तो party शुरू हुई है
अरे, अभी तो party शुरू हुई है
Yeah, yeah (ये तो बस शुरुआत है)

...",Aastha Gill,0.0081,0.806,0.815,0rUN8ascPVT9iiLzC5ocPw,2.35e-05,3,0.586,-5.373,0,Abhi Toh Party Shuru Hui Hai,0.0599,129.999,https://api.spotify.com/v1/tracks/0rUN8ascPVT9iiLzC5ocPw,0.678
"ਮੈਨੂੰ ਤੂੰ ਲੈ ਜਾ ਕਿਥੇ ਦੂਰ ਮੇਰੇ, ਹਾਣੀਆਂ
ਮੈਨੂੰ ਤੂੰ ਲੈ ਜਾ ਕਿਥੇ ਦੂਰ
ਜਿਥੇ ਪਿਆਰ ਦੀਆਂ ਲਾਵਾਂ
ਜਿਥੇ ਠੰਡੀਆਂ ਹਵਾਵਾਂ
ਜਿਥੇ ਅੰਬਰੋ ਬਰਾਸਤਾ ਨੂਰ
ਮੇਰੇ ਹਾਣੀਆਂ

ਮੈਨੂੰ ਤੂੰ ਲੈ ਜਾ ਕਿਥੇ ਦੂਰ, ਮੇਰੇ ਹਾਣੀਆਂ
ਮੈਨੂੰ ਤੂੰ ਲੈ ਜਾ ਕਿਥੇ ਦੂਰ
ਮੈਨੂੰ ਤੂੰ ਲੈ ਜਾ ਕਿਥੇ ਦੂਰ, ਮੇਰੇ ਹਾਣੀਆਂ
ਮੈਨੂੰ ਤੂੰ ਲੈ ਜਾ ਕਿਥੇ ਦੂਰ

मुझे मालूम है
मेरा चेहरा तेरे दिल का सुकून है
तू भी मेरी इन रगों में बहता खून है
कहने को दूर है, दिल के करीब है
पैसे का नशा भी जाने जाना एक जूनून है
तुझे कैसे मैं बताऊँ कि तू कितनी मासूम है
...",Aastha Gill,0.276,0.543,0.455,5GoZcfJqSpkNLgKQqbkUxL,0.0,4,0.0948,-11.914,0,Heartless (feat. Aastha Gill),0.101,172.084,https://api.spotify.com/v1/tracks/5GoZcfJqSpkNLgKQqbkUxL,0.659
"winter का महीना
उस पर तुझ जैसी हसीना
बोलो फिर मेरा दिल
क्यूँ ना हो slip बेबी
आया जो पसीना तुझे
छूटा है पसीना मेरा
जाने कैसी तेरी trip trip trip मैं उड़ने लगी हूँ
हाई हाई हाई हुआ तुझसे कनेक्शन जैसे फ्री का wifi
सबको कर दिया मैं bye bye bye
आ तुझसे मिलके क्यूँ कभी why why why
मैं हैप्पी हैप्पी हूँ
मैं हैप्पी हैप्पी हूँ

मैं हैप्पी हैप्पी हूँ
...",Aastha Gill,0.324,0.871,0.924,3rnxHAKckU017oJHqRUvEF,0.000634,10,0.0915,-4.269,0,"Happy Happy (From ""Blackmail"")",0.049,112.018,https://api.spotify.com/v1/tracks/3rnxHAKckU017oJHqRUvEF,0.893
